Hold On,Wilson Phillips,1,1990
It Must Have Been Love,Roxette,2,1990
Nothing Compares 2 U,Sinéad O'Connor,3,1990
Poison,Bell Biv DeVoe,4,1990
Vogue,Madonna,5,1990
Vision of Love,Mariah Carey,6,1990
Another Day in Paradise,Phil Collins,7,1990
Hold On,En Vogue,8,1990
Cradle of Love,Billy Idol,9,1990
Blaze of Glory,Jon Bon Jovi,10,1990
Do Me!,Bell Biv DeVoe,11,1990
How Am I Supposed to Live Without You,Michael Bolton,12,1990
Pump Up the Jam,Technotronic,13,1990
Opposites Attract,Paula Abdul and The Wild Pair,14,1990
Escapade,Janet Jackson,15,1990
All I Wanna Do Is Make Love to You,Heart,16,1990
Close to You,Maxi Priest,17,1990
Black Velvet,Alannah Myles,18,1990
Release Me,Wilson Phillips,19,1990
Don't Know Much,Linda Ronstadt and Aaron Neville,20,1990
All Around the World,Lisa Stansfield,21,1990
I Wanna Be Rich,Calloway,22,1990
Rub You the Right Way,Johnny Gill,23,1990
She Ain't Worth It,Glenn Medeiros and Bobby Brown,24,1990
If Wishes Came True,Sweet Sensation,25,1990
The Power,Snap!,26,1990
(Can't Live Without Your) Love and Affection,Nelson,27,1990
Love Will Lead You Back,Taylor Dayne,28,1990
Don't Wanna Fall in Love,Jane Child,29,1990
Two to Make It Right,Seduction,30,1990
Sending All My Love,Linear,31,1990
Unskinny Bop,Poison,32,1990
Step by Step,New Kids on the Block,33,1990
Dangerous,Roxette,34,1990
We Didn't Start the Fire,Billy Joel,35,1990
I Don't Have the Heart,James Ingram,36,1990
Downtown Train,Rod Stewart,37,1990
Rhythm Nation,Janet Jackson,38,1990
I'll Be Your Everything,Tommy Page,39,1990
Roam,The B-52s,40,1990
Everything,Jody Watley,41,1990
Back to Life (However Do You Want Me),Soul II Soul featuring Caron Wheeler,42,1990
Here and Now,Luther Vandross,43,1990
Alright,Janet Jackson,44,1990
Ice Ice Baby,Vanilla Ice,45,1990
Blame It on the Rain,Milli Vanilli,46,1990
Have You Seen Her,MC Hammer,47,1990
With Every Beat of My Heart,Taylor Dayne,48,1990
Come Back to Me,Janet Jackson,49,1990
No More Lies,Michel'le,50,1990
Praying for Time,George Michael,51,1990
How Can We Be Lovers,Michael Bolton,52,1990
Do You Remember,Phil Collins,53,1990
Ready or Not,After 7,54,1990
U Can't Touch This,MC Hammer,55,1990
I Wish It Would Rain Down,Phil Collins,56,1990
Just Between You and Me,Lou Gramm,57,1990
Something Happened on the Way to Heaven,Phil Collins,58,1990
Black Cat,Janet Jackson,59,1990
Can't Stop,After 7,60,1990
Janie's Got a Gun,Aerosmith,61,1990
The Humpty Dance,Digital Underground,62,1990
I'll Be Your Shelter,Taylor Dayne,63,1990
Free Fallin',Tom Petty,64,1990
Giving You the Benefit,Pebbles,65,1990
Enjoy the Silence,Depeche Mode,66,1990
Love Song,Tesla,67,1990
Price of Love,Bad English,68,1990
Girls Nite Out,Tyler Collins,69,1990
King of Wishful Thinking,Go West,70,1990
What Kind of Man Would I Be?,Chicago,71,1990
I Remember You,Skid Row,72,1990
Get Up! (Before the Night Is Over),Technotronic featuring Ya Kid K,73,1990
Here We Are,Gloria Estefan,74,1990
Epic,Faith No More,75,1990
Love Takes Time,Mariah Carey,76,1990
Just Like Jesse James,Cher,77,1990
Love Shack,The B-52s,78,1990
All or Nothing,Milli Vanilli,79,1990
Romeo,Dino,80,1990
Everybody Everybody,Black Box,81,1990
I Go to Extremes,Billy Joel,82,1990
Whip Appeal,Babyface,83,1990
Oh Girl,Paul Young,84,1990
C'mon and Get My Love,D Mob featuring Cathy Dennis,85,1990
(It's Just) The Way That You Love Me,Paula Abdul,86,1990
We Can't Go Wrong,The Cover Girls,87,1990
When I'm Back on My Feet Again,Michael Bolton,88,1990
Make You Sweat,Keith Sweat,89,1990
This One's for the Children,New Kids on the Block,90,1990
What It Takes,Aerosmith,91,1990
Forever,Kiss,92,1990
Jerk Out,The Time,93,1990
Just a Friend,Biz Markie,94,1990
Whole Wide World,A'Me Lorain,95,1990
Without You,Mötley Crüe,96,1990
Swing the Mood,Jive Bunny and the Mastermixers,97,1990
Thieves in the Temple,Prince,98,1990
Mentirosa,Mellow Man Ace,99,1990
Tic-Tac-Toe,Kyper,100,1990
(Everything I Do) I Do It for You,Bryan Adams,1,1991
I Wanna Sex You Up,Color Me Badd,2,1991
Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,3,1991
Rush Rush,Paula Abdul,4,1991
One More Try,Timmy T,5,1991
Unbelievable,EMF,6,1991
More Than Words,Extreme,7,1991
I Like the Way (The Kissing Game),Hi-Five,8,1991
The First Time,Surface,9,1991
Baby Baby,Amy Grant,10,1991
Motownphilly,Boyz II Men,11,1991
Because I Love You (The Postman Song),Stevie B,12,1991
Someday,Mariah Carey,13,1991
High Enough,Damn Yankees,14,1991
From a Distance,Bette Midler,15,1991
All the Man That I Need,Whitney Houston,16,1991
"Right Here, Right Now",Jesus Jones,17,1991
I Adore Mi Amor,Color Me Badd,18,1991
Love Will Never Do (Without You),Janet Jackson,19,1991
Good Vibrations,Marky Mark and the Funky Bunch featuring Loleatta Holloway,20,1991
Justify My Love,Madonna,21,1991
Emotions,Mariah Carey,22,1991
Joyride,Roxette,23,1991
Romantic,Karyn White,24,1991
Hold You Tight,Tara Kemp,25,1991
I Don't Wanna Cry,Mariah Carey,26,1991
You're in Love,Wilson Phillips,27,1991
Every Heartbeat,Amy Grant,28,1991
Sensitivity,Ralph Tresvant,29,1991
Touch Me (All Night Long),Cathy Dennis,30,1991
I've Been Thinking About You,Londonbeat,31,1991
Do Anything,Natural Selection,32,1991
Losing My Religion,R.E.M.,33,1991
Coming Out of the Dark,Gloria Estefan,34,1991
It Ain't Over 'til It's Over,Lenny Kravitz,35,1991
Here We Go,C+C Music Factory,36,1991
Where Does My Heart Beat Now,Celine Dion,37,1991
Summertime,DJ Jazzy Jeff & The Fresh Prince,38,1991
Wind of Change,Scorpions,39,1991
P.A.S.S.I.O.N.,Rythm Syndicate,40,1991
The Promise of a New Day,Paula Abdul,41,1991
I'm Your Baby Tonight,Whitney Houston,42,1991
Love of a Lifetime,FireHouse,43,1991
Fading Like a Flower (Every Time You Leave),Roxette,44,1991
This House,Tracie Spencer,45,1991
Hole Hearted,Extreme,46,1991
Power of Love/Love Power,Luther Vandross,47,1991
Impulsive,Wilson Phillips,48,1991
Love Is a Wonderful Thing,Michael Bolton,49,1991
Rhythm of My Heart,Rod Stewart,50,1991
Things That Make You Go Hmmm...,C+C Music Factory,51,1991
I Touch Myself,Divinyls,52,1991
Tom's Diner,DNA featuring Suzanne Vega,53,1991
Iesha,Another Bad Creation,54,1991
Something to Talk About,Bonnie Raitt,55,1991
After the Rain,Nelson,56,1991
Play That Funky Music,Vanilla Ice,57,1991
Temptation,Corina,58,1991
Can't Stop This Thing We Started,Bryan Adams,59,1991
I Can't Wait Another Minute,Hi-Five,60,1991
3 a.m. Eternal,The KLF,61,1991
"Time, Love and Tenderness",Michael Bolton,62,1991
Sadeness (Part I),Enigma,63,1991
Around the Way Girl,LL Cool J,64,1991
I'll Be There,The Escape Club,65,1991
Cream,Prince and The New Power Generation,66,1991
Now That We Found Love,Heavy D & the Boyz,67,1991
Show Me the Way,Styx,68,1991
Love Takes Time,Mariah Carey,69,1991
Cry for Help,Rick Astley,70,1991
The Way You Do the Things You Do,UB40,71,1991
Here I Am (Come and Take Me),UB40,72,1991
Signs,Tesla,73,1991
Too Many Walls,Cathy Dennis,74,1991
Crazy,Seal,75,1991
I'll Give All My Love to You,Keith Sweat,76,1991
Place in this World,Michael W. Smith,77,1991
Something to Believe In,Poison,78,1991
Wicked Game,Chris Isaak,79,1991
Get Here,Oleta Adams,80,1991
Round and Round,Tevin Campbell,81,1991
Silent Lucidity,Queensrÿche,82,1991
I'm Not In Love,Will to Power,83,1991
Piece of My Heart,Tara Kemp,84,1991
Real Real Real,Jesus Jones,85,1991
Everybody Plays the Fool,Aaron Neville,86,1991
Just Another Dream,Cathy Dennis,87,1991
Strike It Up,Black Box,88,1991
Rico Suave,Gerardo,89,1991
Disappear,INXS,90,1991
Groove Is in the Heart,Deee-Lite,91,1991
All This Time,Sting,92,1991
The One and Only,Chesney Hawkes,93,1991
O.P.P.,Naughty by Nature,94,1991
Freedom 90,George Michael,95,1991
I Saw Red,Warrant,96,1991
Miles Away,Winger,97,1991
Do You Want Me,Salt-n-Pepa,98,1991
The Motown Song,Rod Stewart,99,1991
Shiny Happy People,R.E.M.,100,1991
End of the Road,Boyz II Men,1,1992
Baby Got Back,Sir Mix-a-Lot,2,1992
Jump,Kris Kross,3,1992
Save the Best for Last,Vanessa Williams,4,1992
Baby-Baby-Baby,TLC,5,1992
Tears in Heaven,Eric Clapton,6,1992
My Lovin' (You're Never Gonna Get It),En Vogue,7,1992
Under the Bridge,Red Hot Chili Peppers,8,1992
All 4 Love,Color Me Badd,9,1992
Just Another Day,Jon Secada,10,1992
I Love Your Smile,Shanice,11,1992
To Be with You,Mr. Big,12,1992
I'm Too Sexy,Right Said Fred,13,1992
Black or White,Michael Jackson,14,1992
Achy Breaky Heart,Billy Ray Cyrus,15,1992
I'll Be There,Mariah Carey,16,1992
November Rain,Guns N' Roses,17,1992
Life Is a Highway,Tom Cochrane,18,1992
Remember the Time,Michael Jackson,19,1992
Finally,CeCe Peniston,20,1992
This Used to Be My Playground,Madonna,21,1992
Sometimes Love Just Ain't Enough,Patty Smyth and Don Henley,22,1992
Can't Let Go,Mariah Carey,23,1992
Jump Around,House of Pain,24,1992
Diamonds and Pearls,Prince and The New Power Generation,25,1992
Don't Let the Sun Go Down on Me,George Michael and Elton John,26,1992
Masterpiece,Atlantic Starr,27,1992
If You Asked Me To,Celine Dion,28,1992
Giving Him Something He Can Feel,En Vogue,29,1992
Live and Learn,Joe Public,30,1992
Come and Talk to Me,Jodeci,31,1992
Smells Like Teen Spirit,Nirvana,32,1992
Humpin' Around,Bobby Brown,33,1992
Damn I Wish I Was Your Lover,Sophie B. Hawkins,34,1992
Tell Me What You Want Me to Do,Tevin Campbell,35,1992
Ain't 2 Proud 2 Beg,TLC,36,1992
It's So Hard to Say Goodbye to Yesterday,Boyz II Men,37,1992
Move This,Technotronic featuring Ya Kid K,38,1992
Bohemian Rhapsody,Queen,39,1992
Tennessee,Arrested Development,40,1992
The Best Things in Life Are Free,Luther Vandross and Janet Jackson,41,1992
Make It Happen,Mariah Carey,42,1992
The One,Elton John,43,1992
Set Adrift on Memory Bliss,P.M. Dawn,44,1992
Stay,Shakespears Sister,45,1992
2 Legit 2 Quit,Hammer,46,1992
Please Don't Go,KWS,47,1992
Breakin' My Heart (Pretty Brown Eyes),Mint Condition,48,1992
Wishing on a Star,The Cover Girls,49,1992
She's Playing Hard to Get,Hi-Five,50,1992
I'd Die Without You,P.M. Dawn,51,1992
Good for Me,Amy Grant,52,1992
All I Want,Toad the Wet Sprocket,53,1992
When a Man Loves a Woman,Michael Bolton,54,1992
I Can't Dance,Genesis,55,1992
Hazard,Richard Marx,56,1992
Mysterious Ways,U2,57,1992
Too Funky,George Michael,58,1992
How Do You Talk to an Angel,The Heights,59,1992
One,U2,60,1992
Keep on Walkin',CeCe Peniston,61,1992
Hold on My Heart,Genesis,62,1992
The Way I Feel About You,Karyn White,63,1992
Beauty and the Beast,Celine Dion and Peabo Bryson,64,1992
Warm It Up,Kris Kross,65,1992
In the Closet,Michael Jackson,66,1992
People Everyday,Arrested Development,67,1992
No Son of Mine,Genesis,68,1992
Wildside,Marky Mark and the Funky Bunch,69,1992
Do I Have to Say the Words?,Bryan Adams,70,1992
Friday I'm in Love,The Cure,71,1992
Everything About You,Ugly Kid Joe,72,1992
Blowing Kisses in the Wind,Paula Abdul,73,1992
Thought I'd Died and Gone to Heaven,Bryan Adams,74,1992
Rhythm Is a Dancer,Snap!,75,1992
Addams Groove,Hammer,76,1992
Missing You Now,Michael Bolton,77,1992
Back to the Hotel,N2Deep,78,1992
Everything Changes,Kathy Troccoli,79,1992
Have You Ever Needed Someone So Bad,Def Leppard,80,1992
Take This Heart,Richard Marx,81,1992
When I Look Into Your Eyes,FireHouse,82,1992
I Wanna Love You,Jade,83,1992
Uhh Ahh,Boyz II Men,84,1992
Real Love,Mary J. Blige,85,1992
Justified and Ancient,The KLF,86,1992
Slow Motion,Color Me Badd,87,1992
What About Your Friends,TLC,88,1992
Thinkin' Back,Color Me Badd,89,1992
Would I Lie to You?,Charles & Eddie,90,1992
That's What Love Is For,Amy Grant,91,1992
Keep Coming Back,Richard Marx,92,1992
Free Your Mind,En Vogue,93,1992
Keep It Comin',Keith Sweat,94,1992
Just Take My Heart,Mr. Big,95,1992
I Will Remember You,Amy Grant,96,1992
We Got a Love Thang,CeCe Peniston,97,1992
Let's Get Rocked,Def Leppard,98,1992
They Want EFX,Das EFX,99,1992
I Can't Make You Love Me,Bonnie Raitt,100,1992
I Will Always Love You,Whitney Houston,1,1993
Whoomp! (There It Is),Tag Team,2,1993
Can't Help Falling in Love,UB40,3,1993
That's the Way Love Goes,Janet Jackson,4,1993
Freak Me,Silk,5,1993
Weak,SWV,6,1993
If I Ever Fall in Love,Shai,7,1993
Dreamlover,Mariah Carey,8,1993
Rump Shaker,Wreckx-n-Effect,9,1993
Informer,Snow,10,1993
Nuthin' but a 'G' Thang,Dr. Dre,11,1993
In the Still of the Nite,Boyz II Men,12,1993
Don't Walk Away,Jade,13,1993
Knockin' da Boots,H-Town,14,1993
Lately,Jodeci,15,1993
Dazzey Duks,Duice,16,1993
Show Me Love,Robin S.,17,1993
A Whole New World,Peabo Bryson and Regina Belle,18,1993
If,Janet Jackson,19,1993
I'm So Into You,SWV,20,1993
Love Is,Vanessa Williams and Brian McKnight,21,1993
Runaway Train,Soul Asylum,22,1993
I'll Never Get Over You (Getting Over Me),Exposé,23,1993
Ditty,Paperboy,24,1993
Rhythm Is a Dancer,Snap!,25,1993
The River of Dreams,Billy Joel,26,1993
I'm Gonna Be (500 Miles),The Proclaimers,27,1993
Two Princes,Spin Doctors,28,1993
Right Here,SWV,29,1993
I Have Nothing,Whitney Houston,30,1993
Mr. Wendal,Arrested Development,31,1993
Have I Told You Lately,Rod Stewart,32,1993
Saving Forever for You,Shanice,33,1993
Ordinary World,Duran Duran,34,1993
If I Had No Loot,Tony! Toni! Toné!,35,1993
I'd Do Anything for Love (But I Won't Do That),Meat Loaf,36,1993
Slam,Onyx,37,1993
Looking Through Patient Eyes,P.M. Dawn,38,1993
I'm Every Woman,Whitney Houston,39,1993
Baby I'm Yours,Shai,40,1993
Come Undone,Duran Duran,41,1993
I Don't Wanna Fight,Tina Turner,42,1993
I'd Die Without You,P.M. Dawn,43,1993
"Whoot, There It Is",95 South,44,1993
Hip Hop Hooray,Naughty by Nature,45,1993
Another Sad Love Song,Toni Braxton,46,1993
Will You Be There,Michael Jackson,47,1993
Comforter,Shai,48,1993
Good Enough,Bobby Brown,49,1993
What's up,4 Non Blondes,50,1993
All That She Wants,Ace of Base,51,1993
7,Prince and The New Power Generation,52,1993
Dre Day,Dr. Dre featuring Snoop Doggy Dogg,53,1993
One Last Cry,Brian McKnight,54,1993
Just Kickin' It,Xscape,55,1993
I Get Around,2Pac,56,1993
Bed of Roses,Bon Jovi,57,1993
Real Love,Mary J. Blige,58,1993
Here We Go Again!,Portrait,59,1993
Cryin',Aerosmith,60,1993
Cat's in the Cradle,Ugly Kid Joe,61,1993
What About Your Friends,TLC,62,1993
I Got a Man,Positive K,63,1993
Hey Mr. D.J.,Zhané,64,1993
Insane in the Brain,Cypress Hill,65,1993
Deeper and Deeper,Madonna,66,1993
Rain,Madonna,67,1993
The Right Kind of Love,Jeremy Jordan,68,1993
Bad Boys,Inner Circle,69,1993
That's What Love Can Do,Boy Krazy,70,1993
Do You Believe in Us,Jon Secada,71,1993
Angel,Jon Secada,72,1993
Forever in Love,Kenny G,73,1993
Again,Janet Jackson,74,1993
Boom! Shake the Room,DJ Jazzy Jeff & The Fresh Prince,75,1993
When She Cries,Restless Heart,76,1993
Sweat (A La La La La Long),Inner Circle,77,1993
It Was a Good Day,Ice Cube,78,1993
More and More,Captain Hollywood Project,79,1993
How Do You Talk to an Angel,The Heights,80,1993
Rebirth of Slick (Cool Like Dat),Digable Planets,81,1993
